Feature,Missing_Percentage
HighestRemunerationPackage,3.2744728270186867
NetEmploymentCreation,3.120178295902623
PolicyBriberyAndCorruption,3.103034459111949
PolicyBusinessEthics,3.017315275158581
ShareholdersVoteOnExecutivePay,2.8630207440425166
VetoPowerOrGoldenShare,2.828733070461169
CompensationImprovementTools,2.777301560089148
PublicAvailabilityCorporateStatutes,2.777301560089148
ShareholdersApprovalStockCompensationPlan,2.7258700497171264
DirectorElectionMajorityRequirement,2.6744385393451053
VotingCapPercentage,2.5201440082290416
ExternalConsultants,2.4515686610663465
SuccessionPlan,2.3829933139036514
CeoCompensationLinkToTsr,2.022972741299503
TotalSeniorExecutivesCompensationToRevenues,1.7486713526487225
AuditCommitteeIndependence,0.8571918395336876
AverageBoardTenure,0.6343219612549289
AuditorTenure,0.5657466140922339
SocialPillarScore,0.4457397565575175
ESGCControversiesScore,0.4457397565575175
ESGScore,0.4457397565575175
ESGResourceUseScore,0.4457397565575175
EnvironmentPillarScore,0.4457397565575175
GovernancePillarScore,0.4457397565575175
HealthAndSafetyPolicy,0.4457397565575175
AnnouncedLayOffsToTotalEmployees,0.4457397565575175
ESGWorkforceScore,0.4457397565575175
ESGShareholdersScore,0.4457397565575175
TrainingAndDevelopmentPolicy,0.4457397565575175
ESGProductResponsibilityScore,0.4457397565575175
ESGManagementScore,0.4457397565575175
ESGInnovationScore,0.4457397565575175
ESGHumanRightsScore,0.4457397565575175
ESGEmissionsScore,0.4457397565575175
ESGCsrStrategyScore,0.4457397565575175
ESGCommunityScore,0.4457397565575175
ESGCombinedScore,0.4457397565575175
BoardMemberAffiliations,0.20572604148808502
ExecutiveMembersGenderDiversityPercent,0.20572604148808502
IndependentBoardMembers,0.1885822046974113
BoardSpecificSkillsPercent,0.17143836790673753
BoardGenderDiversityPercent,0.17143836790673753
NonExecutiveBoardMembers,0.17143836790673753
AuditCommitteeManagementIndependence,0.13715069432539004
AntiTakeoverDevicesAboveTwo,0.13715069432539004
BoardAttendance,0.13715069432539004
EqualShareholderRights,0.13715069432539004
BoardBackgroundAndSkills,0.13715069432539004
BoardFunctionsPolicy,0.13715069432539004
BoardIndividualReElection,0.13715069432539004
BoardSizeMoreTenLessEight,0.13715069432539004
SustainabilityCompensationIncentives,0.13715069432539004
ShareholderRightsPolicy,0.13715069432539004
BoardStructurePolicy,0.13715069432539004
CeoChairmanSeparation,0.13715069432539004
CompensationCommitteeManagementIndependence,0.13715069432539004
ExecutiveIndividualCompensation,0.13715069432539004
ExecutiveCompensationPolicy,0.13715069432539004
ExecutiveCompensationLinkToObjectives,0.13715069432539004
ticker,0.0
comname,0.0
orgpermid,0.0
